Title,Album,Artist,Duration,Index
Little Sister,Lullabies To Paralyze,Queens Of The Stone Age,174000,644
Little Wonder,Earthling,David Bowie,362080,839
Locked Out of Heaven,Unorthodox Jukebox,Bruno Mars,233000,266
London Calling,London Calling,Clash,199756,475
Long Distance Call,It&#39;s Never Been Like that,Phoenix,186000,775
Looking For Satellites,Earthling,David Bowie,320911,841
Loser,Mellow Gold,Beck,235023,10
Lost In the Supermarket,London Calling,Clash,229060,482
Love Island,"You&#39;ve Come A Long Way, Baby",Fatboy Slim,318000,34
Love You Madly,Comfort Eagle,Cake,236756,396
Lovefool,First Band On The Moon,Cardigans,198635,403
Lovely Day Inside,Sunshine Today,Mo&#39; Horizons,350000,590
Lovergirl,Greatest Hits,Teena Marie,290000,609
Lyin&#39; Ass Bitch,Fishbone,Fishbone,255000,545
Mad About You,The Magnificent Tree,Hooverphonic,223000,696
"Mahna, Mahna",B-Sides And Rarities,CAKE,174000,583
Makeba,Zanaka,Jain,249599,255
Mama Said Knock You Out,Mama Said Knock You Out,LL Cool J,289000,754
Mambuloo,... And The New Bohemian Freedom,Mo&#39; Horizons,292000,227
Mammago&#39;s Garage,Beyond Good &amp; Evil,Christophe Heral,156546,445
Man,Please Clap Your Hands,The Bird And The Bee,183000,249
Mandinka,Lion and the Cobra,Sinéad O&#39;Connor,227000,366
Maneater (Remastered),The Very Best Of Daryl Hall &amp; John Oates,Daryl Hall &amp; John Oates,271000,261
Maps,Maps &amp; Father King,Emancipator,262000,772
Mardy Bum,"Whatever People Say I Am, That&#39;s What I Am Not",Arctic Monkeys,176696,133
Marmalade,Time Waits,Bud Powell,271908,330
Matadora,Soft Animals,Sofi Tukker,241000,353
Mbira Beat,Caught in the loop,Goldfish,302000,721
Meditation,The Best Of Booker T. &amp; the MG,Booker T. &amp; the MGs,240292,299
Megitsune,BabyMetal,BABYMETAL,247000,153
Melting Pot,The Best Of Booker T. &amp; the MG,Booker T. &amp; the MGs,494415,302
Memories,Ballroom Stories,Waldeck,230000,589
Merchants Of Novigrad,Witcher 3 OST,Percival &amp; Marcin Przybyłowicz,191111,365
Mexican Radio,Guilty Pleasures,Wall Of Voodoo,250000,592
Mexicanos,Loteria de la Cumbia Lounge,Charanga Cakewalk,292006,432
Mic Check,The Battle Of Los Angeles,Rage Against The Machine,213000,774
Midnight Feast,Keep It Unreal,Mr. Scruff,214000,639
Mindfields,The Fat Of The Land,Prodigy,339000,25
Misery Business,Riot!,Paramore,211000,771
Missing,Guero,Beck,283817,201
Mission Code: B.F.A.M.,Interstate &#39;76 Soundtrack,Bullmark,129480,335
Moar Jive,"Beatz &amp; Pieces, Vol. 1",Gramatik,218000,562
Modern Industry,Fishbone,Fishbone,265000,547
Modern Love,Let&#39;s Dance,David Bowie,237978,837
Mon meilleur ami,Pop Up,Yelle,237000,789
Money Changes Everything  ,She&#39;s So Unusual,Cyndi Lauper,301652,667
Monopoly,Time Waits,Bud Powell,290472,331
Monster Hospital,Live It Out,Metric,210000,42
Moon,Mickey Mouse Operation,Little People,227000,724
Morning Star,Morning Star,Flunk,232000,625
